시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,201902,1~10,"162,000",2,1982,개포로
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,74.25,201902,11~20,"153,500",1,1983,삼성로4길
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,60.13,201902,11~20,"130,000",5,1983,개포로
서울특별시 강남구 개포동,185,185,0,개포주공 7단지,60.76,201902,11~20,"130,500",9,1983,개포로
서울특별시 강남구 개포동,185,185,0,개포주공 7단지,53.46,201902,21~28,"114,000",14,1983,개포로
서울특별시 강남구 논현동,276-1,276,1,아크로힐스논현,84.208,201902,11~20,"158,000",2,2014,언주로
서울특별시 강남구 논현동,276-1,276,1,아크로힐스논현,84.074,201902,21~28,"150,000",4,2014,언주로
서울특별시 강남구 대치동,888,888,0,대치아이파크,149.78,201902,21~28,"257,000",5,2008,선릉로
서울특별시 강남구 대치동,670,670,0,동부센트레빌,121.74,201901,21~31,"256,000",16,2005,선릉로
서울특별시 강남구 대치동,670,670,0,동부센트레빌,161.47,201902,11~20,"310,000",22,2005,선릉로
서울특별시 강남구 대치동,316,316,0,은마,76.79,201901,21~31,"151,200",4,1979,삼성로
서울특별시 강남구 대치동,316,316,0,은마,84.43,201902,11~20,"169,000",8,1979,삼성로
서울특별시 강남구 대치동,316,316,0,은마,76.79,201902,11~20,"156,000",8,1979,삼성로
서울특별시 강남구 대치동,316,316,0,은마,84.43,201902,21~28,"166,000",5,1979,삼성로
서울특별시 강남구 대치동,316,316,0,은마,76.79,201902,21~28,"148,000",4,1979,삼성로
서울특별시 강남구 대치동,316,316,0,은마,76.79,201902,21~28,"154,000",5,1979,삼성로
서울특별시 강남구 대치동,902,902,0,포스코더샵,164.88,201902,21~28,"240,000",21,2004,삼성로
서울특별시 강남구 대치동,511,511,0,한보미도맨션2,126.33,201902,21~28,"228,000",10,1985,삼성로
서울특별시 강남구 도곡동,952,952,0,대우디오빌,25.89,201902,11~20,"25,500",13,2004,강남대로
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,121.42,201902,21~28,"190,000",42,2002,언주로30길
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,195.83,201902,11~20,"270,000",35,2003,언주로30길
서울특별시 강남구 도곡동,895-8,895,8,한신엠비씨,84.74,201902,1~10,"117,000",5,1988,논현로
서울특별시 강남구 삼성동,142-3,142,3,LG선릉에클라트(B),36.35,201902,11~20,"39,000",9,2004,테헤란로63길
서울특별시 강남구 삼성동,11,11,0,롯데캐슬프레미어,121.931,201902,21~28,"221,000",6,2007,선릉로126길
서울특별시 강남구 삼성동,101,101,0,삼성동에스케이뷰,84.52,201902,21~28,"139,000",5,2005,봉은사로109길
서울특별시 강남구 삼성동,02월 16일,16,2,삼성동힐스테이트 1단지,84.236,201902,11~20,"203,000",7,2008,학동로68길
서울특별시 강남구 삼성동,50,50,0,현대힐스테이트 2단지,84.349,201901,21~31,"200,000",5,2008,삼성로111길
서울특별시 강남구 수서동,708,708,0,삼익,60,201902,1~10,"102,500",14,1992,광평로51길
서울특별시 강남구 수서동,736,736,0,신동아,49.96,201902,11~20,"91,500",9,1992,광평로47길
서울특별시 강남구 신사동,606-2,606,2,신사 아크존2,135.72,201901,21~31,"80,000",4,2005,압구정로34길
서울특별시 강남구 압구정동,481,481,0,현대8차(성수현대:91~95동),111.5,201902,11~20,"204,500",4,1980,압구정로
서울특별시 강남구 역삼동,783-30,783,30,공간쉐르빌,43.27,201902,1~10,"35,700",3,2003,언주로63길
서울특별시 강남구 역삼동,826-29,826,29,역삼동우정에쉐르1,52.01,201902,11~20,"58,000",9,2004,테헤란로4길
서울특별시 강남구 역삼동,757,757,0,역삼래미안,59.4,201902,1~10,"126,000",11,2005,선릉로69길
서울특별시 강남구 역삼동,760-7,760,7,현대트라움,165.23,201901,21~31,"180,000",5,2002,언주로70길
서울특별시 강남구 일원동,735,735,0,가람,84.95,201902,11~20,"146,000",4,1993,일원로
서울특별시 강남구 일원동,731,731,0,한솔마을,84.73,201902,1~10,"140,000",5,1994,광평로10길
서울특별시 강남구 청담동,May-50,50,5,대우유로카운티,137.9,201902,21~28,"178,000",6,2004,도산대로92길
서울특별시 강남구 청담동,102-2,102,2,연세힐하우스1,177.58,201902,21~28,"207,000",6,2003,압구정로71길
서울특별시 강남구 청담동,134-38,134,38,청담자이,49.639,201901,21~31,"133,000",3,2011,영동대로138길
서울특별시 강남구 청담동,134-38,134,38,청담자이,82.365,201902,21~28,"208,000",24,2011,영동대로138길
서울특별시 강동구 강일동,695,695,0,강일리버파크10단지,84.53,201902,1~10,"65,000",6,2009,고덕로97길
서울특별시 강동구 강일동,695,695,0,강일리버파크10단지,84.53,201902,11~20,"64,500",8,2009,고덕로97길
서울특별시 강동구 강일동,673,673,0,강일리버파크4단지,84.83,201902,11~20,"60,000",4,2009,아리수로97길
서울특별시 강동구 강일동,701,701,0,강일리버파크8단지,84.83,201902,1~10,"67,000",7,2009,아리수로94길
서울특별시 강동구 고덕동,688,688,0,고덕래미안 힐스테이트아파트,84.94,201902,11~20,"114,500",28,2016,아리수로50길
서울특별시 강동구 고덕동,688,688,0,고덕래미안 힐스테이트아파트,84.94,201902,21~28,"107,000",32,2016,아리수로50길
서울특별시 강동구 길동,456-3,456,3,강동큐브,12.49,201902,11~20,"12,000",9,2013,천호대로175길
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,23.39,201902,1~10,"38,800",12,2018,천호대로175길
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,23.39,201902,11~20,"38,400",8,2018,천호대로175길
서울특별시 강동구 길동,456-4,456,4,다성이즈빌,15.96,201902,11~20,"15,800",15,2018,천호대로175길
서울특별시 강동구 길동,349-1,349,1,다성이즈빌(349-1),18.16,201902,1~10,"14,500",3,2012,천중로
서울특별시 강동구 길동,387-4,387,4,다성이즈빌(387-4),22.21,201902,1~10,"28,000",8,2018,천중로42길
서울특별시 강동구 길동,387-4,387,4,다성이즈빌(387-4),32.4,201902,1~10,"38,700",9,2018,천중로42길
서울특별시 강동구 길동,387-4,387,4,다성이즈빌(387-4),14.75,201902,1~10,"17,000",16,2018,천중로42길
서울특별시 강동구 길동,387-4,387,4,다성이즈빌(387-4),14.45,201902,1~10,"15,800",16,2018,천중로42길
서울특별시 강동구 길동,387-4,387,4,다성이즈빌(387-4),14.45,201902,1~10,"15,500",7,2018,천중로42길
서울특별시 강동구 길동,387-4,387,4,다성이즈빌(387-4),32.4,201902,1~10,"38,900",15,2018,천중로42길
서울특별시 강동구 길동,387-4,387,4,다성이즈빌(387-4),14.45,201902,1~10,"15,700",13,2018,천중로42길
서울특별시 강동구 길동,387-4,387,4,다성이즈빌(387-4),14.75,201902,11~20,"17,000",14,2018,천중로42길
서울특별시 강동구 길동,387-4,387,4,다성이즈빌(387-4),14.45,201902,11~20,"15,500",9,2018,천중로42길
서울특별시 강동구 길동,383-7,383,7,다오아트빌,74.47,201902,11~20,"41,500",7,2001,성안로
서울특별시 강동구 길동,365-1,365,1,라인,59.94,201902,11~20,"44,000",11,1998,천중로50길
서울특별시 강동구 길동,160,160,0,신동아,60.39,201902,21~28,"48,000",12,1983,천중로
서울특별시 강동구 길동,332,332,0,한전우성1,81.54,201902,11~20,"52,000",9,1989,천중로49길
서울특별시 강동구 둔촌동,435-3,435,3,광남캐스빌103동,84.75,201902,21~28,"60,000",2,2004,양재대로102길
