,Bank Name,City,State,Cert,Acquiring Institution,Closing Date,year
0,Almena State Bank,Almena,KS,15426,Equity Bank,2020-10-23,2020
1,First City Bank of Florida,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb",2020-10-16,2020
2,The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.",2020-04-03,2020
3,Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,2020-02-14,2020
4,City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,2019-11-01,2019
5,Resolute Bank,Maumee,OH,58317,Buckeye State Bank,2019-10-25,2019
6,Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,2019-10-25,2019
7,The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.",2019-05-31,2019
8,Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,2017-12-15,2017
9,The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,2017-10-13,2017
10,Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",2017-05-26,2017
11,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,2017-05-05,2017
12,First NBC Bank,New Orleans,LA,58302,Whitney Bank,2017-04-28,2017
13,Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,2017-03-03,2017
14,Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,2017-01-27,2017
15,Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,2017-01-13,2017
16,Allied Bank,Mulberry,AR,91,Today's Bank,2016-09-23,2016
17,The Woodbury Banking Company,Woodbury,GA,11297,United Bank,2016-08-19,2016
18,First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,2016-05-06,2016
19,Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,2016-04-29,2016
20,North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,2016-03-11,2016
21,Hometown National Bank,Longview,WA,35156,Twin City Bank,2015-10-02,2015
22,The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,2015-10-02,2015
23,Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",2015-07-10,2015
24,Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,2015-05-08,2015
25,Doral Bank  En Español,San Juan,PR,32102,Banco Popular de Puerto Rico,2015-02-27,2015
26,Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,2015-02-13,2015
27,Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",2015-01-23,2015
28,First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,2015-01-16,2015
29,Northern Star Bank,Mankato,MN,34983,BankVista,2014-12-19,2014
30,"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",2014-11-07,2014
31,The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,2014-10-24,2014
32,NBRS Financial,Rising Sun,MD,4862,Howard Bank,2014-10-17,2014
33,"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC",2014-07-25,2014
34,Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,2014-07-18,2014
35,The Freedom State Bank,Freedom,OK,12483,Alva State Bank & Trust Company,2014-06-27,2014
36,Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",2014-06-20,2014
37,Valley Bank,Moline,IL,10450,Great Southern Bank,2014-06-20,2014
38,Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",2014-05-30,2014
39,Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",2014-05-23,2014
40,AztecAmerica Bank En Español,Berwyn,IL,57866,Republic Bank of Chicago,2014-05-16,2014
41,Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,2014-04-25,2014
42,Vantage Point Bank,Horsham,PA,58531,First Choice Bank,2014-02-28,2014
43,"Millennium Bank, National Association",Sterling,VA,35096,WashingtonFirst Bank,2014-02-28,2014
44,Syringa Bank,Boise,ID,34296,Sunwest Bank,2014-01-31,2014
45,The Bank of Union,El Reno,OK,17967,BancFirst,2014-01-24,2014
46,DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,2014-01-17,2014
47,"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",2013-12-13,2013
48,Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,2013-10-30,2013
49,First National Bank also operating as The National Bank of El  Paso  En Español,Edinburg,TX,14318,PlainsCapital Bank,2013-09-13,2013
50,The Community's Bank,Bridgeport,CT,57041,No Acquirer,2013-09-13,2013
51,Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",2013-08-23,2013
